Label,area0,area1,area2,area3,area4
Uninfected,1728.0,0,0,0,0
Uninfected,1782.5,0,0,0,0
Uninfected,1738.5,0,0,0,0
Uninfected,872.0,0,0,0,0
Uninfected,1658.0,0,0,0,0
Uninfected,1682.0,0,0,0,0
Uninfected,1414.5,0,0,0,0
Uninfected,1657.5,0,0,0,0
Uninfected,1831.0,0,0,0,0
Uninfected,1350.0,0,0,0,0
Uninfected,1591.5,0,0,0,0
Uninfected,1644.0,0,0,0,0
Uninfected,1753.5,0,0,0,0
Uninfected,1793.0,0,0,0,0
Uninfected,1862.5,0,0,0,0
Uninfected,1176.5,0,0,0,0
Uninfected,1838.5,0,0,0,0
Uninfected,3.0,1272.0,0,0,0
Uninfected,1237.0,0,0,0,0
Uninfected,1513.5,0,0,0,0
Uninfected,1753.5,0,0,0,0
Uninfected,1670.0,0,0,0,0
Uninfected,1597.0,0,0,0,0
Uninfected,1459.5,0,0,0,0
Uninfected,1758.0,0,0,0,0
Uninfected,1391.0,0,0,0,0
Uninfected,1679.5,0,0,0,0
Uninfected,1625.0,0,0,0,0
Uninfected,1778.5,0,0,0,0
Uninfected,1752.0,0,0,0,0
Uninfected,1717.5,0,0,0,0
Uninfected,1633.0,0,0,0,0
Uninfected,1497.0,0,0,0,0
Uninfected,1651.0,0,0,0,0
Uninfected,1674.0,0,0,0,0
Uninfected,1670.5,0,0,0,0
Uninfected,1563.0,0,0,0,0
Uninfected,193.0,1669.5,0,0,0
Uninfected,1747.0,0,0,0,0
Uninfected,1714.0,0,0,0,0
Uninfected,1629.5,0,0,0,0
Uninfected,1751.5,0,0,0,0
Uninfected,1705.0,0,0,0,0
Uninfected,1837.0,0,0,0,0
Uninfected,1334.0,0,0,0,0
Uninfected,1807.5,0,0,0,0
Uninfected,1151.5,0,0,0,0
Uninfected,1774.5,0,0,0,0
Uninfected,1797.0,0,0,0,0
Uninfected,1189.5,0,0,0,0
Uninfected,1803.5,0,0,0,0
Uninfected,1076.0,0,0,0,0
Uninfected,1534.5,0,0,0,0
Uninfected,1613.5,0,0,0,0
Uninfected,1747.0,0,0,0,0
Uninfected,1554.0,0,0,0,0
Uninfected,1817.5,0,0,0,0
Uninfected,1659.0,0,0,0,0
Uninfected,1792.5,0,0,0,0
Uninfected,1770.0,0,0,0,0
Uninfected,1766.5,0,0,0,0
Uninfected,1728.0,0,0,0,0
Uninfected,90.5,1760.0,0,0,0
Uninfected,1411.0,0,0,0,0
Uninfected,1700.0,0,0,0,0
Uninfected,1359.0,0,0,0,0
Uninfected,1585.0,0,0,0,0
Uninfected,1619.0,0,0,0,0
Uninfected,1660.5,0,0,0,0
Uninfected,1261.5,0,0,0,0
Uninfected,1436.0,0,0,0,0
Uninfected,1739.0,0,0,0,0
Uninfected,1739.5,0,0,0,0
Uninfected,1665.0,0,0,0,0
Uninfected,1620.0,0,0,0,0
Uninfected,1725.5,0,0,0,0
Uninfected,1386.5,0,0,0,0
Uninfected,1693.5,0,0,0,0
Uninfected,1672.0,0,0,0,0
Uninfected,1361.5,0,0,0,0
Uninfected,1788.5,0,0,0,0
Uninfected,1787.0,0,0,0,0
Uninfected,1723.0,0,0,0,0
Uninfected,1697.5,0,0,0,0
Uninfected,1739.0,0,0,0,0
Uninfected,1623.5,0,0,0,0
Uninfected,1468.5,0,0,0,0
Uninfected,1691.0,0,0,0,0
Uninfected,578.5,1282.5,1769.0,0,0
Uninfected,1639.0,0,0,0,0
Uninfected,46.0,1497.5,0,0,0
Uninfected,1577.0,0,0,0,0
Uninfected,1819.5,0,0,0,0
Uninfected,1601.0,0,0,0,0
Uninfected,1813.5,0,0,0,0
Uninfected,1512.5,0,0,0,0
Uninfected,1691.0,0,0,0,0
Uninfected,1703.0,0,0,0,0
Uninfected,1849.0,0,0,0,0
Uninfected,1678.5,0,0,0,0
Uninfected,1837.0,0,0,0,0
Uninfected,1757.5,0,0,0,0
Uninfected,1771.5,0,0,0,0
Uninfected,1681.0,0,0,0,0
Uninfected,1769.0,0,0,0,0
Uninfected,1352.5,0,0,0,0
Uninfected,183.5,1594.5,0,0,0
Uninfected,1644.0,0,0,0,0
Uninfected,1717.0,0,0,0,0
Uninfected,1710.0,0,0,0,0
Uninfected,1708.0,0,0,0,0
Uninfected,1669.0,0,0,0,0
Uninfected,1559.0,0,0,0,0
Uninfected,1701.5,0,0,0,0
Uninfected,1703.5,0,0,0,0
Uninfected,1621.0,0,0,0,0
Uninfected,1770.5,0,0,0,0
Uninfected,1923.5,0,0,0,0
Uninfected,1644.5,0,0,0,0
Uninfected,1678.5,0,0,0,0
Uninfected,1448.0,0,0,0,0
Uninfected,1871.5,0,0,0,0
Uninfected,24.5,38.0,56.0,96.5,0
Uninfected,1525.5,0,0,0,0
Uninfected,1706.5,0,0,0,0
Uninfected,1512.0,0,0,0,0
Uninfected,1700.5,0,0,0,0
Uninfected,1733.5,0,0,0,0
Uninfected,1843.5,0,0,0,0
Uninfected,1716.0,0,0,0,0
Uninfected,1648.0,0,0,0,0
Uninfected,1617.0,0,0,0,0
Uninfected,1797.0,0,0,0,0
Uninfected,1753.0,0,0,0,0
Uninfected,1658.5,0,0,0,0
Uninfected,1684.0,0,0,0,0
Uninfected,1701.0,0,0,0,0
Uninfected,1514.5,0,0,0,0
Uninfected,111.5,338.5,1548.0,0,0
Uninfected,1522.5,0,0,0,0
Uninfected,1707.5,0,0,0,0
Uninfected,1781.5,0,0,0,0
Uninfected,1766.0,0,0,0,0
Uninfected,1708.0,0,0,0,0
Uninfected,1162.0,0,0,0,0
Uninfected,1786.0,0,0,0,0
Uninfected,1682.5,0,0,0,0
Uninfected,70.5,179.5,1626.5,0,0
Uninfected,1746.5,0,0,0,0
Uninfected,1427.0,0,0,0,0
Uninfected,1704.0,0,0,0,0
Uninfected,1574.5,0,0,0,0
Uninfected,1672.5,0,0,0,0
Uninfected,1753.5,0,0,0,0
Uninfected,1393.0,0,0,0,0
Uninfected,1841.5,0,0,0,0
Uninfected,1778.0,0,0,0,0
Uninfected,1329.0,0,0,0,0
Uninfected,1760.5,0,0,0,0
Uninfected,1694.5,0,0,0,0
